Name,No of Ratings,Price,Rating out of 5
"Bajaj NX-01, Powerful 300W Mixer Grinder, Blender, Juicer and Smoothie Maker with Sipper and Store Lids, 3 Jars, Black, Regular",153,3215,3.3
"Inalsa Amaze Mixer Grinder Mixer Grinder, 780W, 3 Stainless Steel Jars & 1 Blender Jar with Fruit Filter (Grey)",1478,3256,3.6
"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1799,3.6
"Orient Electric MGCS120G3 Chef Special 1200W Mixer Grinder with 3 Jars,(Black and Chrome)",170,3969,4.1
RKI Sujata Grinder Jar Steel Mixer Grinder 1000ML,22,820,4.7
"Kuber Industries Fruit Printed Water/Dust Proof PVC Mixer Grinder, Table Top Wet Grinder Cover (Multicolour)-HS43KUBMART25699, Standard",76,199,4
"Wonderchef Vietri Mixer Grinder with 3 Anti-Rust Stainless Steel Jars and Blades, 3-Speed Knob, Anti-Skid Feet, 5 Years Warranty on Copper Armature Motor, 550W - Black & Red",21,2339,3.6
Goldwinner Eco Stainless Steel Mixer Dry Grinding Jar|Standard Mixer Jar|Kitchen Tools|Mixer Grinder Dry jar with lid 750 ML SA (Steel Black),18,489,3.8
Prestige Delight Pro 750W Mixer Grinder,2,6500,4.5
Philips HL1606 500-Watt Mixer Grinder with 3 Jars (Green),1461,2490,4
"Sunmeet Deluxe -Twister, Twister Fruity, GX-7, GX-8, Bravo,GX-10, GX -10DLX, GX-15 Mixer Grinder Chutney jar with lid 0.4 L (Steel Black)",62,399,3.6
"Boss Flora 550-Watt Mixer Grinder, 2 Jars, White-Purple",98,1975,4
USHA SpeedMax 500-Watt Copper Motor Mixer Grinder with 3 Jars (Red/Black),131,2749,3.9
"AmazonBasics Mixer, Grinder and Blender with 2 Jars (1000W), Black",103,2599,3.7
Crompton Diva DS51 500 Watts Mixer Grinder with 3 Jars (White),53,2245,4.1
"Lifelong LLNB02 Regalia Nutri Pro Mixer Grinder, Blender and Grinder, Stainless Steel Blades, 2 Unbreakable Jars and 3 lids, 1 Year Warranty, 400 W - Red",75,2108,3.6
Maharaja Whiteline Apex 2J 500-Watt Mixer Grinder with 2 Jars (Red and White),14,1899,4.2
"The Quasar Store Mixer Chutney Jar (250 ml,500 ml) HEAVY QUALITY Mixer Grinder Jar (1 Mini Unique Jar 1 Medium Jar)",24,489,3.8
Usha Mixer Grinder 3576 imprezza 750watt 3 jar (RED and White),20,3899,3.7
"Lifelong LLMG755 750 Watt Juicer Mixer Grinder, 5 Jars for Grinding, Mixing, and Juice at home , Juicer with Fruit Filter, Chutney/Masala Storage Jar (1 Year Warranty, Grey)",17,2999,3.2
"Home Plus Alpha Pro Mixer Grinder 500W, 3 Jars Stainless Steel, White",17,1499,4.1
Gixoo Big Hero 550-Watt Mixer Grinder with 3 Jars Color-Red & White,2,1250,4.1
"Crompton Sierra 500-Watt Mixer Grinder with Motor Vent-X Technology (3 Stainless Steel Jars, White)",46,2408,4
"Havells Maxx Grind NV Mixer Grinder, 500W, 3 Jars, Cherry Red",28,2809,4.3
"Preethi Blue Leaf Platinum MG 139 mixer grinder, 750 watt, White, 4 jars - Super Extractor juicer Jar & Storage Air-Tight Container, FBT motor with 5yr Warranty & Lifelong Free Service, Standard",2218,6459,4.2
Bajaj Bravo Dlx 500-Watt Mixer Grinder (White/BLUE),712,2499,4.2
"Bajaj GX 3501 500W Mixer Grinder with 3 Jars, Black",102,2698,4
"Athots Hardy Pro Powerful Hybrid 100% Copper Motor 750 Mixer Grinder (4 Jars, Light Brown , White)",4,1729,2.5
Baltra Promo (550 Watt) Mixer Grinder with 3 Stainless Steel Jars - Turquoise Green & White,585,1599,3.7
Maharaja Whiteline Powerclick + MX-204 750-Watt Mixer Grinder with 4 Jars (Black),1440,4450,4
Maharaja Whiteline Flora MX-133 550-Watt 3-Speed Mixer Grinder with 3 Jar (Red/White),119,2489,4
"Lesco MMaaVita Nutri Booster, blender for kitchen, 20000 RPM Mixer Grinder, Blender, Stainless Steel Blades, 3 Unbreakable Jars (650ml, 350ml, 250ml), 2 Years Warranty, 500 W, 3 speed with pulse, Overload protector for motor safety (Lavender)",7,2349,3.8
Wonderchef Capri 500W Mixer Grinder with 3 Jars (Blue),32,2199,3.5
JESSTONE 1 Litre Stain less Steel Mixer Jar with Chutney Jar 400 ML Mixer Jar (Plastic Base) Combo Set,15,745,4.8
Sumeet Traditional Sanghini 550-Watt Mixer Grinder with 3 Jars (White),209,3250,3.7
"Bajaj Herculo 1000W Powerful Mixer Grinder with Nutri-Pro Feature, 3 Jars, Coffee Brown and Gold",141,5990,4.1
Panasonic MX-AC3O0-H 550-Watt Mixer Grinder with 3 Jars (Grey),209,4730,4.5
"Preethi Blue Leaf 110 Volts Mixer Grinder, White",75,7875,4.1
JESSTONE Chutney Jar - 400ml-compatible with Mixer Grinder Brands 400Ml.,80,385,4.1
"Bajaj GX 3 500W Mixer Grinder , White",236,2520,3.9
Preethi Xpro Duo MG 198 1300-Watt Mixer Grinder (Deep Blue),805,8599,4.2
Havells Maxx Grind Plus 750 Watt Mixer Grinder with 3 Stainless Steel Jar and Overload indicator (Blue),20,3690,3.8
(Renewed) Havells Capture 500 Watt Mixer Grinder with 3 Stainless Steel Jar (Grey & Green) with 5 Year Motor Warranty,36,1945,3.8
Sumeet Traditional Amica 750-Watt Mixer Grinder with 3 Jars (Silver),214,3496,3.5
Prestige Deluxe VS (750 Watt) Mixer Grinder with 3 Stainless Steel Jar,229,3736,3.7
SilentPowerSunmeet Powerfull 1000-Watts 2 Year Warranty Origional Quality Mixer & Grinder with Heavy 3 Stainless Steel Jars .Since 1984 Manufacturing Marketing & Servicing.,5,2695,3.3
Bajaj Easy 500-Watt Mixer Grinder with 3 Jars (White),659,2800,4.2
"PENTASTARA® -Mixer Grinder- Dry/Wet Jar ""Multi-Purpose"" blade Fits- Sumeet, Preethi, Pigeon , Kenstar ,Orient, Bajaj , jyothi, Cello, Crompton , prestige, premier xpress , boss, rico, morophy richards ,croma, lifelong , Singer, Signora , Nirlep, Jaipan",4,199,3.9
"Sumeet Traditional Amica 750 W Mixer Grinder (Grey, Black, 3 Jars)",108,3699,3.9
Orpat Kitchen Platinum Mixer Grinder – 1200 W – Green (MIXER KA BAAP),93,3449,3.8
"Bajaj Rex, Popular Plus 750W Mixer Grinder with Jar and Dry Iron",3,2817,3.7
"SUVE ® Mixer Grinder Cover for All Mixies (Free Size , Multicolor)",37,249,3.7
AGARO - 33268 Blitz 750-Watt Mixer Grinder with 3 Stainless Steel Jars & 3 Speed Settings (Blue/White),36,2449,3.2
"Havells Rigo Mixer Grinder with 2 Jar, White, Blue",236,3299,3.9
Butterfly 750 Watts 4 Jar Mixer Grinder and 900 ml Unbreakable Chopper Combo,14,3169,4
Prestige Tulip Classic (500 Watt) Mixer Grinder with 3 Stainless Steel Jar,477,2800,3.8
Longway Pluto 4 Jar 650 Watt Mixer Grinder - (White & Blue),6,1999,4.4
FLORA AND CO Stainless Steel Chutney Jar 400 ML Mixer Jar (Plastic Base),25,375,4.5
Morphy Richards Ace Plus 750-Watt Mixer Grinder with 3 Jars (White),357,3199,3.8
POOJA ECOMMERCE JAR Coupler Suitable for All Four Teeth Coupler Mixer Grinders Set of 2PCS (White),121,149,3.7
"Usha Imprezza Mixer Grinder, 750W, 3 Jars (Red White)",16,4384,4.6
"For - Bajaj Twister, Twister Fruity, GX-7, GX-8, Bravo,GX-10, GX -10DLX, Grinder Chutney Jar with lid 0.4 Liter (Steel Black)",161,784,4.2
"Prestige Deluxe Total LS 750W 5 Jar Mixer Grinder with 1 Food Processor Jar, White",110,6300,4.1
