,Name,No of reviews,Price,Rating out of 5
109,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
110,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
112,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
113,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3025,3497.0,4
114,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
115,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,9017,6750.0,4.4
116,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
117,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
118,"Sujata Dynamix Mixer Grinder ( 900 Watt , White)",1919,5538.0,4.6
119,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
120,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
121,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
122,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
123,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
124,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
125,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
126,"Bosch TrueMixx Bold Mixer Grinder (Black) - 600 Watts, 3 Jars - MGM4334BIN",189,4090.0,4.3
127,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
128,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
129,Croma 750 Watt 3 Jars Mixer Grinder with Copper Motor CRAK4183 (Green),28,1990.0,3.3
130,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
131,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
132,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
134,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
135,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3025,3497.0,4
136,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
137,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,9017,6750.0,4.4
138,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
139,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
140,"Sujata Dynamix Mixer Grinder ( 900 Watt , White)",1919,5538.0,4.6
141,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
142,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
143,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
144,Havells Mixwell 500 watt 3 Jar Mixer Grinder (Black Grey) (GHFMGCIK050),93,2550.0,4.1
145,"Philips Viva Collection HL7701/00 Mixer Grinder, 750 Watts, 4 Jars (Elegant Lavender and White)",3323,4699.0,4.2
146,AmazonBasics Premium 750W Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,515,2899.0,3.8
147,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
148,"Bosch TrueMixx Bold Mixer Grinder (Black) - 600 Watts, 3 Jars - MGM4334BIN",189,4090.0,4.3
149,"Crompton Ameo 750-Watt Mixer Grinder with MaxiGrind and Motor Vent-X Technology (3 Stainless Steel Jars, Black & Green)",5193,2988.0,4.1
150,"AmazonBasics Premium 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar, Black & Grey",1773,3149.0,3.7
151,Croma 750 Watt 3 Jars Mixer Grinder with Copper Motor CRAK4183 (Green),28,1990.0,3.3
152,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
153,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",742,1848.0,3.9
154,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
156,USHA RapidMix 500-Watt Copper Motor Mixer Grinder with 3 Jars (Sea Green/White),3685,2540.0,4
157,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3025,3497.0,4
158,"Havells Power Hunk 800 watt Mixer Grinder with 3 Wider mouth Stainless Steel Jar, Hands Free operation, SS-304 Grade Blade & 7 year motor warranty (Grey)",592,3898.0,4.1
159,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,9017,6750.0,4.4
160,Butterfly Jet Elite 750-Watt Mixer Grinder with 3 Jars (Grey),1690,2758.0,3.9
161,"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",2729,3082.0,4.2
162,"Sujata Dynamix Mixer Grinder ( 900 Watt , White)",1919,5538.0,4.6
163,"Butterfly Hero Plus Mixer Grinder 550 W, Grey, Small",608,2675.0,3.8
164,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
